date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:52	1013/1013	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/portfolio.init.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/portfolio.init.js	(from https://bemudayana.id/)
10:18:52	6132/6132	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:37%20GMT	https://bemudayana.id/bem_js/app.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/app.js	(from https://bemudayana.id/)
10:18:53	2333/2333	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/swiper.init.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/swiper.init.js	(from https://bemudayana.id/)
10:18:53	127934/127934	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:39%20GMT	https://bemudayana.id/bem_js/swiper.min.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/swiper.min.js	(from https://bemudayana.id/)
10:18:53	884/884	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:39%20GMT	https://bemudayana.id/bem_js/counter.init.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/counter.init.js	(from https://bemudayana.id/)
10:18:54	150941/150941	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Aug%202020%2018:30:12%20GMT	https://bemudayana.id/moment/moment.js	C:/My%20Web%20Sites/bem/bemudayana.id/moment/moment.js	(from https://bemudayana.id/)
10:18:55	216949/216949	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Aug%202020%2018:30:12%20GMT	https://bemudayana.id/fullcalendar/dist/fullcalendar.min.js	C:/My%20Web%20Sites/bem/bemudayana.id/fullcalendar/dist/fullcalendar.min.js	(from https://bemudayana.id/)
10:18:59	169440/169440	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Apr%202020%2004:54:34%20GMT	https://bemudayana.id/fonts/materialdesignicons-webfont772b.html?v=3.2.89	C:/My%20Web%20Sites/bem/bemudayana.id/fonts/materialdesignicons-webfont772b772b.html	(from https://bemudayana.id/bem_css/materialdesignicons.min.css)
10:19:00	480204/480204	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Apr%202020%2004:54:32%20GMT	https://bemudayana.id/fonts/materialdesignicons-webfont772b.eot?v=3.2.89	C:/My%20Web%20Sites/bem/bemudayana.id/fonts/materialdesignicons-webfont772b772b.eot	(from https://bemudayana.id/bem_css/materialdesignicons.min.css)
10:19:02	230656/230656	---M--	200	added ('OK')	font/woff	date:Fri,%2003%20Apr%202020%2004:54:41%20GMT	https://bemudayana.id/fonts/materialdesignicons-webfont772b.woff?v=3.2.89	C:/My%20Web%20Sites/bem/bemudayana.id/fonts/materialdesignicons-webfont772b772b.woff	(from https://bemudayana.id/bem_css/materialdesignicons.min.css)
10:19:03	480204/480204	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2003%20Apr%202020%2004:54:41%20GMT	https://bemudayana.id/fonts/materialdesignicons-webfontd41d.eot?	C:/My%20Web%20Sites/bem/bemudayana.id/fonts/materialdesignicons-webfontd41dd41d.eot	(from https://bemudayana.id/bem_css/materialdesignicons.min.css)
